,Pick,Team,Name,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year,Height,Weight,Birthday,Position1,Position2,Position3,All_Star_apps,All_NBA_apps,All_Def_apps,HOF
18,19,HOU,Steve Harris,Tulsa,5,207,2840,1440,365,238,.434,.050,.842,13.7,7.0,1.8,1.1,3.1,.053,-2.6,-0.4,1985,196cm,88kg,1963-10-15,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
19,20,BOS,Sam Vincent,Michigan State,7,396,7527,3106,819,1543,.449,.182,.863,19.0,7.8,2.1,3.9,10.9,.069,-0.8,2.2,1985,188cm,83kg,1963-05-18,Point Guard,Shooting Guard,Point Guard,0,0,0,0
20,21,PHI,Terry Catledge,University of South Alabama,8,515,13541,6520,3314,459,.485,.094,.654,26.3,12.7,6.4,0.9,20.9,.074,-2.6,-2.0,1985,203cm,99kg,1963-08-22,Power Forward,Power Forward,Power Forward,0,0,0,0
21,22,MIL,Jerry Reynolds,LSU,8,443,8379,4036,1317,904,.418,.226,.749,18.9,9.1,3.0,2.0,10.5,.060,0.6,5.4,1985,203cm,90kg,1962-12-23,Small Forward,Shooting Guard,Small Forward,0,0,0,0
22,23,LAL,A.C. Green,Oregon State,16,1278,36552,12331,9473,1400,.494,.254,.734,28.6,9.6,7.4,1.1,99.5,.131,-0.2,16.6,1985,206cm,99kg,1963-10-04,Power Forward,Small Forward,Power Forward,1,0,0,0
23,24,POR,Terry Porter,University of Wisconsin-Stevens Point,17,1274,35354,15586,3872,7160,.463,.386,.836,27.8,12.2,3.0,5.6,110.4,.150,2.9,43.3,1985,190cm,88kg,1963-04-08,Point Guard,Point Guard,Point Guard,2,0,0,0
24,,,,,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
25,25,POR,Mike Smrek,Canisius,7,194,1890,554,422,49,.431,.000,.617,9.7,2.9,2.2,0.3,0.7,.018,-6.1,-1.9,1985,213cm,113kg,1962-08-31,Center,Power Forward,Center,0,0,0,0
26,26,IND,Bill Martin,Georgetown,3,84,860,397,136,58,.449,.000,.813,10.2,4.7,1.6,0.7,0.3,.016,-4.4,-0.5,1985,201cm,92kg,1962-08-16,Small Forward,Small Forward,Small Forward,0,0,0,0
27,27,IND,Dwayne McClain,Villanova,1,45,461,157,30,67,.383,.111,.514,10.2,3.5,0.7,1.5,-0.3,-.026,-3.8,-0.2,1985,198cm,83kg,1963-02-07,Small Forward,Small Forward,Small Forward,0,0,0,0
28,28,CHI,Ken Johnson,Michigan State,1,64,815,263,243,19,.528,,.435,12.7,4.1,3.8,0.3,0.8,.044,-4.9,-0.6,1985,203cm,108kg,1962-11-07,Power Forward,Power Forward,Power Forward,0,0,0,0
29,29,SAS,Mike Brittain,South Carolina,2,38,248,63,53,7,.500,,.524,6.5,1.7,1.4,0.2,-0.1,-.011,-7.6,-0.4,1985,213cm,106kg,1963-06-21,Center,Center,Center,0,0,0,0
30,30,CLE,Calvin Duncan,Virginia Commonwealth,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
31,31,WSB,Manute Bol,University of Bridgeport,10,624,11698,1599,2647,171,.407,.210,.561,18.7,2.6,4.2,0.3,12.3,.051,-0.5,4.5,1985,231cm,90kg,1962-10-16,Center,Center,Center,0,0,0,0
32,32,PHO,Nick Vanos,Santa Clara,2,68,842,222,240,59,.383,.000,.561,12.4,3.3,3.5,0.9,-0.1,-.007,-5.5,-0.7,1985,216cm,115kg,1963-04-13,Center,Center,Center,0,0,0,0
33,33,PHI,Greg Stokes,Iowa,2,42,384,130,62,17,.445,.000,.696,9.1,3.1,1.5,0.4,0.3,.041,-4.1,-0.2,1985,208cm,99kg,1963-08-05,Power Forward,Power Forward,Power Forward,0,0,0,0
34,34,CHI,Aubrey Sherrod,Wichita State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
35,35,SAS,Tyrone Corbin,DePaul,16,1065,27657,9766,5046,1894,.456,.299,.791,26.0,9.2,4.7,1.8,56.5,.098,-0.3,11.9,1985,198cm,95kg,1962-12-31,Small Forward,Small Forward,Small Forward,0,0,0,0
36,36,NJN,Yvon Joseph,Georgia Tech,1,1,5,2,0,0,,,1.000,5.0,2.0,0.0,0.0,0.0,.309,0.7,0.0,1985,211cm,111kg,1957-10-31,Center,Center,Center,0,0,0,0
37,37,UTA,Carey Scurry,Long Island University,3,180,2376,847,524,192,.480,.250,.666,13.2,4.7,2.9,1.1,5.3,.107,1.7,2.2,1985,201cm,85kg,1962-12-04,Small Forward,Small Forward,Small Forward,0,0,0,0
38,38,NJN,Fernando Martín,,1,24,146,22,28,9,.290,.000,.364,6.1,0.9,1.2,0.4,-0.4,-.144,-10.3,-0.3,1985,206cm,99kg,1962-03-25,Center,Center,Center,0,0,0,0
39,39,POR,George Montgomery,Illinois,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
40,40,DAL,Mark Acres,Oral Roberts,6,375,5982,1343,1525,180,.506,.538,.665,16.0,3.6,4.1,0.5,9.3,.075,-3.3,-1.9,1985,211cm,99kg,1962-11-15,Center,Center,Center,0,0,0,0
41,41,ATL,Lorenzo Charles,NC State,1,36,273,122,39,8,.557,,.667,7.6,3.4,1.1,0.2,0.5,.086,-1.6,0.0,1985,201cm,102kg,1963-11-25,Small Forward,Small Forward,Small Forward,0,0,0,0
42,42,GSW,Bobby Lee Hurt,Alabama,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
43,43,DEN,Barry Stevens,Iowa State,1,2,6,2,2,0,.500,,,3.0,1.0,1.0,0.0,0.0,.157,-0.8,0.0,1985,196cm,88kg,1963-01-17,Small Forward,Small Forward,Small Forward,0,0,0,0
44,44,PHI,Voise Winters,Bradley,1,4,17,6,3,0,.231,.000,,4.3,1.5,0.8,0.0,-0.1,-.355,-21.8,-0.1,1985,203cm,90kg,1962-10-12,Small Forward,Small Forward,Small Forward,0,0,0,0
45,45,CLE,Hot Rod Williams,Tulane,13,887,26327,9784,5998,1592,.480,.105,.726,29.7,11.0,6.8,1.8,70.5,.129,1.0,19.9,1985,211cm,97kg,1962-08-09,Center,Power Forward,Center,0,0,0,0
46,46,CHI,Adrian Branch,Maryland,4,130,1429,834,253,96,.455,.231,.744,11.0,6.4,1.9,0.7,2.1,.070,-1.9,0.0,1985,201cm,83kg,1963-11-17,Small Forward,Small Forward,Small Forward,0,0,0,0
47,47,NYK,Gerald Wilkins,Chattanooga,13,900,26084,11736,2646,2697,.450,.316,.745,29.0,13.0,2.9,3.0,33.9,.062,-1.2,5.3,1985,198cm,83kg,1963-09-11,Small Forward,Shooting Guard,Small Forward,0,0,0,0
48,48,IND,Kenny Patterson,DePaul,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
49,49,GSW,Brad Wright,UCLA,2,16,145,54,54,1,.412,.000,.429,9.1,3.4,3.4,0.1,-0.1,-.045,-8.0,-0.2,1985,211cm,102kg,1962-03-26,Power Forward,Power Forward,Power Forward,0,0,0,0
50,50,DAL,Leonard Allen,San Diego State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
51,51,SAC,Charles Bradley,South Florida,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
52,52,LAC,Anicet Lavodrama,Houston Baptist University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
53,53,SEA,Rolando Lamb,Virginia Commonwealth,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
54,54,HOU,Sam Mitchell,Mercer University,13,994,22257,8636,3711,1089,.447,.223,.784,22.4,8.7,3.7,1.1,41.7,.090,-2.5,-3.1,1985,198cm,95kg,1963-09-02,Power Forward,Small Forward,Power Forward,0,0,0,0
55,55,CLE,Herb Johnson,Tulsa,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
56,56,PHO,Jerry Everett,Lamar University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
57,57,HOU,Michael Payne,Iowa,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
58,58,WSB,Vernon Moore,Creighton,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
59,59,ATL,Sedric Toney,Dayton,5,112,1410,409,98,235,.365,.341,.781,12.6,3.7,0.9,2.1,0.0,.000,-5.0,-1.1,1985,188cm,80kg,1962-04-13,Point Guard,Point Guard,Point Guard,0,0,0,0
60,60,DET,Andre Goode,Northwestern,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
61,61,POR,Perry Young,Virginia Tech,1,9,72,13,8,7,.286,,.500,8.0,1.4,0.9,0.8,-0.1,-.047,-7.3,-0.1,1985,196cm,95kg,1963-08-04,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
62,62,NJN,Nigel Manuel,UCLA,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
63,63,DAL,Harold Keeling,Santa Clara,1,20,75,44,6,10,.436,,.714,3.8,2.2,0.3,0.5,0.1,.041,-2.8,0.0,1985,193cm,83kg,1963-09-18,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
64,64,DET,Richie Johnson,University of Evansville,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
65,65,WSB,Ken Perry,Southern Illinois,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
66,66,SAC,Michael Adams,Boston College,11,653,20446,9621,1900,4209,.415,.332,.849,31.3,14.7,2.9,6.4,46.9,.110,1.9,19.9,1985,178cm,73kg,1963-01-19,Point Guard,Point Guard,Point Guard,1,0,0,0
67,67,PHI,Steve Black,La Salle,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
68,68,MIL,Eugene McDowell,Florida,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
69,69,CHI,Mike Brown,George Washington,11,626,10961,3130,2762,424,.455,.125,.690,17.5,5.0,4.4,0.7,15.9,.069,-3.6,-4.4,1985,206cm,116kg,1963-07-19,Center,Center,Center,0,0,0,0
70,70,BOS,Andre Battle,Loyola Chicago,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
71,71,GSW,Luster Goodwin,Texas-El Paso,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
72,72,IND,Vince Hamilton,Clemson,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
73,73,NYK,Fred Cofield,Eastern Michigan,2,50,496,169,51,86,.395,.188,.600,9.9,3.4,1.0,1.7,-0.5,-.044,-4.7,-0.3,1985,190cm,86kg,1962-01-04,Point Guard,Point Guard,Point Guard,0,0,0,0
74,74,LAC,Jim Deines,Arizona State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
75,75,SEA,Alex Stivrins,Colorado,2,22,90,44,22,4,.465,.000,.500,4.1,2.0,1.0,0.2,-0.1,-.043,-7.4,-0.1,1985,203cm,99kg,1962-11-29,Power Forward,Small Forward,Power Forward,0,0,0,0
76,76,SAC,Willie Simmons,Louisiana Tech,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
77,77,ATL,Arvydas Sabonis,,7,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200,4.4,18.4,1985,221cm,126kg,1964-12-19,Center,Center,Center,0,0,0,Hall of Fame
78,78,PHO,Granger Hall,Temple,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
79,79,CLE,Mark Davis,Old Dominion,1,33,258,127,37,14,.480,.100,.824,7.8,3.8,1.1,0.4,0.7,.134,-0.5,0.1,1985,198cm,88kg,1963-06-08,Small Forward,Small Forward,Small Forward,0,0,0,0
80,80,CHI,Craig Beard,Samford University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
81,81,WSB,Richie Adams,UNLV,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
82,82,SAS,Scott Roth,Wisconsin,3,160,1798,751,204,186,.375,.291,.730,11.2,4.7,1.3,1.2,1.1,.030,-3.3,-0.6,1985,203cm,96kg,1963-06-03,Small Forward,Small Forward,Small Forward,0,0,0,0
83,83,UTA,Delaney Rudd,Wake Forest,4,239,2357,816,184,519,.413,.257,.761,9.9,3.4,0.8,2.2,0.7,.014,-3.9,-1.2,1985,188cm,81kg,1962-11-08,Point Guard,Shooting Guard,Point Guard,0,0,0,0
84,84,ATL,John Battle,Rutgers University,10,612,10910,5338,824,1257,.464,.273,.793,17.8,8.7,1.3,2.1,17.9,.079,-2.0,0.1,1985,188cm,79kg,1962-11-09,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
85,85,POR,Joe Atkinson,Oklahoma State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
86,86,DAL,Bubba Jennings,Texas Tech,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
87,87,DET,Spud Webb,NC State,12,814,20288,8072,1742,4342,.452,.314,.848,24.9,9.9,2.1,5.3,40.2,.095,0.2,11.5,1985,168cm,60kg,1963-07-13,Point Guard,Point Guard,Point Guard,0,0,0,0
88,88,HOU,Mike Brooks,Tennessee,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
89,89,DEN,Pete Williams,Arizona,2,58,583,153,147,15,.602,,.425,10.1,2.6,2.5,0.3,1.4,.112,-1.1,0.1,1985,201cm,86kg,1965-03-10,Power Forward,Power Forward,Power Forward,0,0,0,0
90,90,PHI,Derrick Gervin,Texas-San Antonio,2,77,1082,676,175,38,.435,.226,.764,14.1,8.8,2.3,0.5,2.1,.095,-1.0,0.3,1985,203cm,90kg,1963-03-28,Power Forward,Power Forward,Power Forward,0,0,0,0
91,91,MIL,Cozell McQueen,NC State,1,3,7,6,8,0,1.000,,,2.3,2.0,2.7,0.0,0.1,.627,26.1,0.0,1985,211cm,106kg,1962-01-18,Power Forward,Power Forward,Power Forward,0,0,0,0
92,92,LAL,Dexter Shouse,University of South Alabama,1,3,18,0,0,2,.000,.000,,6.0,0.0,0.0,0.7,-0.1,-.281,-12.0,0.0,1985,188cm,90kg,1963-03-24,Point Guard,Point Guard,Point Guard,0,0,0,0
93,93,BOS,Cliff Weber,Liberty,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
94,94,IND,Kelvin Johnson,Richmond,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
95,95,GSW,Greg Cavener,Missouri,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
96,96,NYK,Mike Schlegel,Virginia Commonwealth,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
97,97,SEA,Lou Stefanovic,Illinois State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
98,98,SAC,Bob Lojewski,Saint Joseph's,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
99,99,LAC,Wayne Carlander,USC,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
100,100,ATL,Larry Hampton,Hampton,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
101,101,CLE,Gunther Behnke,,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
102,102,PHO,Shawn Campbell,Weber State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
103,103,CHI,Reid Gettys,Houston,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
104,104,WSB,Dean Shaffer,Florida State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
105,105,UTA,Ray Hall,Canisius,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
106,106,SAS,Clayton Olivier,USC,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
107,107,POR,James Anderson,Union College,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
108,108,NJN,Kelly Blaine,University of South Alabama,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
109,109,DAL,Tommy Davis,Minnesota,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
110,110,DET,Mike Lahm,Murray State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
111,111,IND,Ivan Daniels,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
112,112,DEN,Kenny Brown,Texas A&M,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
113,113,PHI,Carl Wright,SMU,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
114,114,MIL,Ray Knight,Providence,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
115,115,LAL,Timo Saarelainen,BYU,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
116,116,BOS,Albert Butts,La Salle,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
117,117,GSW,Gerald Crosby,Georgia,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
118,118,IND,Stu Primus,Boston College,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
119,119,NYK,Kent Lockhart,Texas-El Paso,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
120,120,SAC,Charles Balentine,Arkansas,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
121,121,LAC,Malcolm Thomas,Missouri,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
122,122,SEA,Earl Walker,Mercer University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
123,123,ATL,Tony Duckett,Lafayette College,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
124,124,PHO,Charles Rayne,Temple,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
125,125,CLE,Ricky Johnson,Illinois State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
126,126,CHI,Dan Meagher,Duke,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
127,127,WSB,Matt England,Houston Baptist University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
128,128,SAS,Chris Harper,Oregon,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
129,129,UTA,Jim Miller,Virginia,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
130,130,NJN,George Almones,LA-Lafayette,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
131,131,POR,Curtis Moore,Nebraska,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
132,132,DAL,Carlton Cooper,Texas,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
133,133,DET,Vincent Giles,Eastern Michigan,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
134,134,HOU,Sam Potter,Oral Roberts,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
135,135,DEN,Joe Carrabino,Harvard University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
136,136,PHI,Daryl Lloyd,Drake University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
137,137,MIL,Quentin Anderson,Texas Tech,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
138,138,LAL,Tony Neal,Cal State Fullerton,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
139,139,BOS,Ralph Lewis,La Salle,3,99,672,229,118,29,.414,.250,.562,6.8,2.3,1.2,0.3,0.0,-.003,-4.0,-0.3,1985,198cm,90kg,1963-03-28,Small Forward,Shooting Guard,Small Forward,0,0,0,0
140,140,IND,Jeff Acres,Oral Roberts,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
141,141,GSW,Eric Boyd,North Carolina A&T,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
142,142,NYK,Ken Bantum,Cornell,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
143,143,LAC,Gary Maloncon,UCLA,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
144,144,SEA,Michael Phelps,Alcorn State,3,132,1372,470,141,138,.416,.091,.639,10.4,3.6,1.1,1.0,0.3,.012,-3.8,-0.6,1985,193cm,81kg,1961-10-03,Shooting Guard,Shooting Guard,Shooting Guard,0,0,0,0
145,145,SAC,Alton Lee Gipson,Florida State,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
146,146,ATL,Bob Ferry,Harvard University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
147,147,CLE,Buzz Peterson,UNC,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
148,148,PHO,Georgi Glouchkov,,1,49,772,239,163,32,.402,1.000,.574,15.8,4.9,3.3,0.7,-0.5,-.029,-6.3,-0.8,1985,203cm,106kg,1960-01-10,Power Forward,Power Forward,Power Forward,0,0,0,0
149,149,CHI,Jeff Adkins,Maryland,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
150,150,WSB,Keith Gray,Detroit Mercy,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
151,151,UTA,Mike Wacker,Texas,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
152,152,SAS,Al Young,Virginia Tech,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
153,153,POR,Mark Owen,Albertson College of Idaho,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
154,154,NJN,Gary McLain,Villanova,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
155,155,DAL,Ed Catchings,UNLV,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
156,156,DET,Frank James,UNLV,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
157,157,IND,Don Turney,Marshall,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
158,158,DEN,Eddie Smith,Arizona,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
159,159,PHI,Jaye Andrews,Bucknell,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
160,160,MIL,Mario Elie,American International College,11,732,18654,6265,2017,1875,.473,.365,.854,25.5,8.6,2.8,2.6,48.9,.126,0.7,12.5,1985,196cm,95kg,1963-11-26,Small Forward,Shooting Guard,Small Forward,0,0,0,0
161,161,LAL,Keith Cleplicki,William & Mary,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
162,162,BOS,Chris Remly,Rutgers University,,,,,,,,,,,,,,,,,,1985,,,,,,,,,,
163,1,CLE,Brad Daugherty,UNC,8,548,20029,10389,5227,2028,.532,.143,.747,36.5,19.0,9.5,3.7,65.2,.156,2.2,21.3,1986,213cm,111kg,1965-10-19,Center,Center,Center,5,0,0,0
164,2,BOS,Len Bias,Maryland,,,,,,,,,,,,,,,,,,1986,,,,,,,,,,
165,3,GSW,Chris Washburn,NC State,2,72,645,222,176,22,.412,.000,.439,9.0,3.1,2.4,0.3,-0.6,-.046,-7.4,-0.9,1986,211cm,102kg,1965-05-13,Center,Center,Center,0,0,0,0
166,4,IND,Chuck Person,Auburn,13,943,28941,13858,4763,2645,.458,.362,.723,30.7,14.7,5.1,2.8,38.9,.065,-0.7,9.1,1986,203cm,99kg,1964-06-27,Power Forward,Small Forward,Power Forward,0,0,0,0
167,5,NYK,Kenny Walker,Kentucky,7,448,9050,3128,1793,299,.485,.206,.749,20.2,7.0,4.0,0.7,17.9,.095,-1.8,0.6,1986,203cm,95kg,1964-08-18,Power Forward,Small Forward,Power Forward,0,0,0,0
168,6,PHO,William Bedford,Memphis,6,238,2514,964,573,109,.416,.318,.605,10.6,4.1,2.4,0.5,0.9,.017,-4.8,-1.8,1986,213cm,102kg,1963-12-14,Center,Center,Center,0,0,0,0
169,7,DAL,Roy Tarpley,Michigan,6,280,7476,3533,2803,292,.483,.176,.744,26.7,12.6,10.0,1.0,19.8,.127,-0.2,3.4,1986,211cm,104kg,1964-11-28,Center,Power Forward,Center,0,0,0,0
